bill_name,lobbying_companies,bill_no,date introduced,sponsor,committee,state,party,no_bills_in_state,properties.color,properties.article
Candidate Voice Fraud Prohibition Act,COMMON CAUSE,H.R.4611,07/13/2023,"Espaillat, Adriano",House - House Administration,New York,Democratic Party,13,#0090A3,"Bill Name: Candidate Voice Fraud Prohibition Act
Sponsor: Espaillat, Adriano
Lobbying Companies: COMMON CAUSE"
Land Grant Research Prioritization Act of 2023,FARMERS EDUCATIONAL COOPERATIVE UNION OF AMERICA,S.2316,07/13/2023,"Rubio, Marco","Senate - Agriculture, Nutrition, and Forestry",Florida,Republican Party,16,#0090A3,"Bill Name: Land Grant Research Prioritization Act of 2023
Sponsor: Rubio, Marco
Lobbying Companies: FARMERS EDUCATIONAL COOPERATIVE UNION OF AMERICA"
AI LEAD Act,,S.2293,07/13/23,"Peters, Gary C.",Senate - Homeland Security and Governmental Affairs,Michigan,Democratic Party,15,#0090A3,
National Defense Authorization Act for Fiscal Year 2024,"NIDEC AMERICAS HOLDING CORPORATION, HERITAGE ACTION FOR AMERICA, PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA, PURDUE UNIVERSITY, LEEBCOR SERVICES, BUSINESS COUNCIL FOR SUSTAINABLE ENERGY, TRELLIX, MENTIS SCIENCES, INC., AMENTUM HOLDINGS, INC. FKA AMENTUM SERVICES, INC., HUMAN FACTORS AND ERGONOMICS SOCIETY, U.S. MERCHANT MARINE ACADEMY ALUMNI ASSOCIATION & FOUNDATION, INC., NCTA - THE INTERNET & TELEVISION ASSOCIATION, TENABLE INC, VOX SPACE, LLC, AMERICAN SOCIETY FOR ENGINEERING EDUCATION, UNIVERSITY OF NEW HAMPSHIRE, L3HARRIS TECHNOLOGIES, INC., EXOANALYTIC SOLUTIONS, INC., PLANNED PARENTHOOD FEDERATION OF AMERICA INC, HERMEUS CORP., LIGADO NETWORKS LLC, PARSONS CORPORATION, LANZAJET INC, AMERICAN CIVIL LIBERTIES UNION, CAPELLA EDUCATION COMPANY, AMERICAN LUNG ASSOCIATION, BAE SYSTEMS INC, KRATOS, NIMBIS SERVICES, INC., MERCURY SYSTEMS, INC., AMERICAN APPAREL & FOOTWEAR ASSOCIATION, CLOUDFLARE, NATIONAL MULTIFAMILY HOUSING COUNCIL INC, AMERICAN PUBLIC UNIVERSITY SYSTEM, SCHOLARPATH, V2X, THE CIGNA GROUP AND SUBSIDIARIES (FKA CIGNA CORPORATION AND SUBSIDIARIES), AMERICAN FED OF GOVERNMENT EMPLOYEES AFL-CIO, AMERICAN SUPERCONDUCTOR CORPORATION, INSTITUTE FOR VETERANS AND MILITARY FAMILIES AT SYRACUSE UNIVERSITY, AUSTAL USA, UNIVERSITY OF CALIFORNIA",S.2226,07/11/23,"Reed, Jack",Senate - Armed Services,Rhode Island,Democratic Party,4,#00AEC5,"Bill Name: National Defense Authorization Act for Fiscal Year 2024
Sponsor: Reed, Jack
Lobbying Companies: NIDEC AMERICAS HOLDING CORPORATION, HERITAGE ACTION FOR AMERICA, PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA, PURDUE UNIVERSITY, LEEBCOR SERVICES, BUSINESS COUNCIL FOR SUSTAINABLE ENERGY, TRELLIX, MENTIS SCIENCES, INC., AMENTUM HOLDINGS, INC. FKA AMENTUM SERVICES, INC., HUMAN FACTORS AND ERGONOMICS SOCIETY, U.S. MERCHANT MARINE ACADEMY ALUMNI ASSOCIATION & FOUNDATION, INC., NCTA - THE INTERNET & TELEVISION ASSOCIATION, TENABLE INC, VOX SPACE, LLC, AMERICAN SOCIETY FOR ENGINEERING EDUCATION, UNIVERSITY OF NEW HAMPSHIRE, L3HARRIS TECHNOLOGIES, INC., EXOANALYTIC SOLUTIONS, INC., PLANNED PARENTHOOD FEDERATION OF AMERICA INC, HERMEUS CORP., LIGADO NETWORKS LLC, PARSONS CORPORATION, LANZAJET INC, AMERICAN CIVIL LIBERTIES UNION, CAPELLA EDUCATION COMPANY, AMERICAN LUNG ASSOCIATION, BAE SYSTEMS INC, KRATOS, NIMBIS SERVICES, INC., MERCURY SYSTEMS, INC., AMERICAN APPAREL & FOOTWEAR ASSOCIATION, CLOUDFLARE, NATIONAL MULTIFAMILY HOUSING COUNCIL INC, AMERICAN PUBLIC UNIVERSITY SYSTEM, SCHOLARPATH, V2X, THE CIGNA GROUP AND SUBSIDIARIES (FKA CIGNA CORPORATION AND SUBSIDIARIES), AMERICAN FED OF GOVERNMENT EMPLOYEES AFL-CIO, AMERICAN SUPERCONDUCTOR CORPORATION, INSTITUTE FOR VETERANS AND MILITARY FAMILIES AT SYRACUSE UNIVERSITY, AUSTAL USA, UNIVERSITY OF CALIFORNIA"
AI Training Expansion Act of 2023,,H.R.4503,07/10/23,"Mace, Nancy",House - Oversight and Accountability,South Carolina,Republican Party,2,#00CCE7,
Jobs of the Future Act of 2023,,H.R.4498,07/06/2023,"Soto, Darren","House - Education and the Workforce; Science, Space, and Technology",Florida,Democratic Party,16,#0090A3,
Weather Information for Agriculture Act.,,H.R.4373,06/27/2023,"Collins, Mike","House - Science, Space, and Technology",Georgia,Republican Party,4,#00AEC5,
National AI Commission Act,,H.R.4223,06/20/2023,"Lieu, Ted","House - Science, Space, and Technology",California,Democratic Party,35,#007281,
Land Grant Research Prioritization Act of 2023,FARMERS EDUCATIONAL COOPERATIVE UNION OF AMERICA,H.R.4162,06/15/2023,"Franklin, C. Scott",House - Agriculture,Florida,Republican Party,16,#0090A3,"Bill Name: Land Grant Research Prioritization Act of 2023
Sponsor: Franklin, C. Scott
Lobbying Companies: FARMERS EDUCATIONAL COOPERATIVE UNION OF AMERICA"
A bill to waive immunity under section 230 of the Communications Act of 1934 for claims and charges related to generative artificial intelligence.,,S.1993,06/14/23,"Hawley, Josh","Senate - Commerce, Science, and Transportation",Missouri,Republican Party,2,#00CCE7,
Civil Nuclear Export Act of 2023,,S.1928,06/12/23,"Manchin, Joe, III","Senate - Banking, Housing, and Urban Affairs",West Virginia,Democratic Party,3,#00AEC5,
AI Disclosure Act of 2023,,H.R.3831,06/05/23,"Torres, Ritchie",House - Energy and Commerce,New York,Democratic Party,13,#0090A3,
United States-Israel Future of Warfare Act of 2023,,S.1802,06/01/2023,"Peters, Gary C.",Senate - Foreign Relations,Michigan,Democratic Party,15,#0090A3,
FAA Research and Development Act of 2023,,H.R.3559,05/22/2023,"Lucas, Frank D.","House - Science, Space, and Technology; Transportation and Infrastructure",Oklahoma,Republican Party,5,#00AEC5,
Artificial Intelligence Accountability Act,,H.R.3369,05/16/2023,"Harder, Josh",House - Energy and Commerce,California,Democratic Party,35,#007281,
ASK Act,,S.1626,05/16/2023,"Scott, Rick","Senate - Commerce, Science, and Transportation",Florida,Republican Party,16,#0090A3,
REAL Political Advertisements Act,,S.1596,05/15/23,"Klobuchar, Amy",Senate - Rules and Administration,Minnesota,Democratic Party,4,#00AEC5,
AI Leadership Training Act,,S.1564,05/11/23,"Peters, Gary C.",Senate - Homeland Security and Governmental Affairs,Michigan,Democratic Party,15,#0090A3,
National Critical Capabilities Defense Act of 2023,,H.R.3136,05/09/23,"DeLauro, Rosa L.",House - Ways and Means,Connecticut,Democratic Party,2,#00CCE7,
REAL Political Advertisements Act,,H.R.3044,05/02/23,"Clarke, Yvette D.",House - House Administration,New York,Democratic Party,13,#0090A3,
Block Nuclear Launch by Autonomous Artificial Intelligence Act of 2023,,S.1394,05/01/2023,"Markey, Edward J.",Senate - Armed Services,Massachusetts,Democratic Party,8,#00AEC5,
DOE and NSF Interagency Research Act,,H.R.2980,04/27/2023,"Stevens, Haley M.","House - Science, Space, and Technology | Senate - Commerce, Science, and Transportation",Michigan,Democratic Party,15,#0090A3,
ASSESS AI Act,,S.1356,04/27/2023,"Bennet, Michael F.","Senate - Commerce, Science, and Transportation",Colorado,Democratic Party,4,#00AEC5,
Block Nuclear Launch by Autonomous Artificial Intelligence Act of 2023,,H.R.2894,04/26/2023,"Lieu, Ted",House - Armed Services; Foreign Affairs,California,Democratic Party,35,#007281,
National Defense Authorization Act for Fiscal Year 2024,"NIDEC AMERICAS HOLDING CORPORATION, HERITAGE ACTION FOR AMERICA, PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA, PURDUE UNIVERSITY, LEEBCOR SERVICES, BUSINESS COUNCIL FOR SUSTAINABLE ENERGY, TRELLIX, MENTIS SCIENCES, INC., AMENTUM HOLDINGS, INC. FKA AMENTUM SERVICES, INC., HUMAN FACTORS AND ERGONOMICS SOCIETY, U.S. MERCHANT MARINE ACADEMY ALUMNI ASSOCIATION & FOUNDATION, INC., NCTA - THE INTERNET & TELEVISION ASSOCIATION, TENABLE INC, VOX SPACE, LLC, AMERICAN SOCIETY FOR ENGINEERING EDUCATION, UNIVERSITY OF NEW HAMPSHIRE, L3HARRIS TECHNOLOGIES, INC., EXOANALYTIC SOLUTIONS, INC., PLANNED PARENTHOOD FEDERATION OF AMERICA INC, HERMEUS CORP., LIGADO NETWORKS LLC, PARSONS CORPORATION, LANZAJET INC, AMERICAN CIVIL LIBERTIES UNION, CAPELLA EDUCATION COMPANY, AMERICAN LUNG ASSOCIATION, BAE SYSTEMS INC, KRATOS, NIMBIS SERVICES, INC., MERCURY SYSTEMS, INC., AMERICAN APPAREL & FOOTWEAR ASSOCIATION, CLOUDFLARE, NATIONAL MULTIFAMILY HOUSING COUNCIL INC, AMERICAN PUBLIC UNIVERSITY SYSTEM, SCHOLARPATH, V2X, THE CIGNA GROUP AND SUBSIDIARIES (FKA CIGNA CORPORATION AND SUBSIDIARIES), AMERICAN FED OF GOVERNMENT EMPLOYEES AFL-CIO, AMERICAN SUPERCONDUCTOR CORPORATION, INSTITUTE FOR VETERANS AND MILITARY FAMILIES AT SYRACUSE UNIVERSITY, AUSTAL USA, UNIVERSITY OF CALIFORNIA",H.R.2670,04/18/23,"Rogers, Mike D.",House - Armed Services,Alabama,Republican Party,2,#00CCE7,"Bill Name: National Defense Authorization Act for Fiscal Year 2024
Sponsor: Rogers, Mike D.
Lobbying Companies: NIDEC AMERICAS HOLDING CORPORATION, HERITAGE ACTION FOR AMERICA, PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA, PURDUE UNIVERSITY, LEEBCOR SERVICES, BUSINESS COUNCIL FOR SUSTAINABLE ENERGY, TRELLIX, MENTIS SCIENCES, INC., AMENTUM HOLDINGS, INC. FKA AMENTUM SERVICES, INC., HUMAN FACTORS AND ERGONOMICS SOCIETY, U.S. MERCHANT MARINE ACADEMY ALUMNI ASSOCIATION & FOUNDATION, INC., NCTA - THE INTERNET & TELEVISION ASSOCIATION, TENABLE INC, VOX SPACE, LLC, AMERICAN SOCIETY FOR ENGINEERING EDUCATION, UNIVERSITY OF NEW HAMPSHIRE, L3HARRIS TECHNOLOGIES, INC., EXOANALYTIC SOLUTIONS, INC., PLANNED PARENTHOOD FEDERATION OF AMERICA INC, HERMEUS CORP., LIGADO NETWORKS LLC, PARSONS CORPORATION, LANZAJET INC, AMERICAN CIVIL LIBERTIES UNION, CAPELLA EDUCATION COMPANY, AMERICAN LUNG ASSOCIATION, BAE SYSTEMS INC, KRATOS, NIMBIS SERVICES, INC., MERCURY SYSTEMS, INC., AMERICAN APPAREL & FOOTWEAR ASSOCIATION, CLOUDFLARE, NATIONAL MULTIFAMILY HOUSING COUNCIL INC, AMERICAN PUBLIC UNIVERSITY SYSTEM, SCHOLARPATH, V2X, THE CIGNA GROUP AND SUBSIDIARIES (FKA CIGNA CORPORATION AND SUBSIDIARIES), AMERICAN FED OF GOVERNMENT EMPLOYEES AFL-CIO, AMERICAN SUPERCONDUCTOR CORPORATION, INSTITUTE FOR VETERANS AND MILITARY FAMILIES AT SYRACUSE UNIVERSITY, AUSTAL USA, UNIVERSITY OF CALIFORNIA"
"Simplify, Don’t Amplify the IRS Act",,H.R.2556,04/10/2023,"Harshbarger, Diana",House - Ways and Means; Financial Services; Oversight and Accountability,Tennessee,Republican Party,3,#00AEC5,
MARTTE Act of 2023,,S.1123,03/30/2023,"Duckworth, Tammy",Senate - Armed Services,Illinois,Democratic Party,5,#00AEC5,
"Simplify, Don’t Amplify the IRS Act",,S.1101,03/30/2023,"Braun, Mike",Senate - Finance,Indiana,Republican Party,3,#00AEC5,
"A bill to direct the Secretary of State to submit to Congress a report on implementation of the advanced capabilities pillar of the trilateral security partnership between Australia, the United Kingdom, and the United States.",,S.1006,03/28/2023,"Blumenthal, Richard",Senate - Foreign Relations,Connecticut,Democratic Party,2,#00CCE7,
United States-Israel Future of Warfare Act of 2023,,H.R.1777,03/24/2023,"Wilson, Joe",House - Armed Services,South Carolina,Republican Party,2,#00CCE7,
AI for National Security Act,,H.R.1718,03/22/2023,"Obernolte, Jay",House - Armed Services,California,Republican Party,35,#007281,
Advanced Weather Model Computing Development Act,,H.R.1715,03/22/2023,"Miller, Max L.","House - Science, Space, and Technology | Senate - Commerce, Science, and Transportation",Ohio,Republican Party,6,#00AEC5,
Promoting Precision Agriculture Act of 2023,,H.R.1697,03/22/23,"Davis, Donald G.",House - Agriculture,North Carolina,Democratic Party,7,#00AEC5,
Promoting Precision Agriculture Act of 2023,,S.734,03/09/2023,"Thune, John","Senate - Agriculture, Nutrition, and Forestry",South Dakota,Republican Party,10,#0090A3,
"To direct the Secretary of State to submit to Congress a report on implementation of the advanced capabilities pillar of the trilateral security partnership between Australia, the United Kingdom, and the United States.",,H.R.1093,02/17/23,"McCaul, Michael T.",House - Foreign Affairs | Senate - Foreign Relations,Texas,Republican Party,13,#0090A3,
Water Quality and Environmental Innovation Act,,H.R.873,02/08/23,"Donalds, Byron","House - Transportation and Infrastructure; Energy and Commerce; Science, Space, and Technology",Florida,Republican Party,16,#0090A3,
Stop Spying Bosses Act,,S.262,02/02/2023,"Casey, Robert P., Jr.","Senate - Health, Education, Labor, and Pensions",Pennsylvania,Democratic Party,4,#00AEC5,
Expressing support for Congress to focus on artificial intelligence.,,H.Res.66,01/26/2023,"Lieu, Ted","House - Science, Space, and Technology",California,Democratic Party,35,#007281,
Healthy Technology Act of 2023,,H.R.206,01/09/23,"Schweikert, David",House - Energy and Commerce,Arizona,Republican Party,7,#00AEC5,
Federal AI Governance and Transparency Act,,H.R.7532,03/05/2024,"Comer, James",House - Oversight and Accountability,Kentucky,Republican Party,2,#00CCE7,
AI Labeling Act of 2023,,S.2691,7/27/2023,"Schatz, Brian","Senate - Commerce, Science, and Transportation",Hawaii,Democratic Party,5,#00AEC5,
AI Labeling Act of 2023,,H.R.6466,11/21/23,"Kean, Thomas H.","House - Energy and Commerce; Science, Space, and Technology",New Jersey,Republican Party,6,#00AEC5,
Ending FCC Meddling in Our Elections Act,,S.4594,06/18/2024,"Lee, Mike","Senate - Commerce, Science, and Transportation",Utah,Republican Party,3,#00AEC5,
Advisory for AI-Generated Content Act,,S.2765,09/12/23,"Ricketts, Pete","Senate - Commerce, Science, and Transportation",Nebraska,Republican Party,2,#00CCE7,
Do Not Disturb Act,,H.R.7116,01/29/2024,"Pallone, Frank, Jr.",House - Energy and Commerce,New Jersey,Democratic Party,6,#00AEC5,
Ensuring Safe and Ethical AI Development Through SAFE AI Research Grants,,H.R.6088,10/26/2023,"Kiley, Kevin","House - Science, Space, and Technology",California,Republican Party,35,#007281,
Protect Elections from Deceptive AI Act,,H.R.8384,05/14/2024,"Kilmer, Derek",House - House Administration,Washington,Democratic Party,10,#0090A3,
CATCH Fentanyl Act,,S.4062,03/22/2024,"Cornyn, John",Senate - Homeland Security and Governmental Affairs,Texas,Republican Party,13,#0090A3,
TAG Act,,H.R.6886,12/22/2023,"Higgins, Clay",House - Oversight and Accountability,Louisiana,Republican Party,4,#00AEC5,
CATCH Fentanyl Act,,H.R.9722,09/20/2024,"Higgins, Clay",House - Homeland Security,Louisiana,Republican Party,4,#00AEC5,
Eliminating Bias in Algorithmic Systems Act of 2023,,S.3478,12/12/23,"Markey, Edward J.",Senate - Homeland Security and Governmental Affairs,Massachusetts,Democratic Party,8,#00AEC5,
TAG Act,,S.1865,06/07/23,"Peters, Gary C.",Senate - Homeland Security and Governmental Affairs,Michigan,Democratic Party,15,#0090A3,
Eliminating Bias in Algorithmic Systems Act of 2024,,H.R.10092,11/01/24,"Lee, Summer L.",House - Oversight and Accountability,Pennsylvania,Democratic Party,4,#00AEC5,
NRC Survey Act,,H.R.1006,02/14/2023,"Donalds, Byron",House - Energy and Commerce,Florida,Republican Party,16,#0090A3,
FIT Procurement Act,,S.4066,03/22/2024,"Peters, Gary C.",Senate - Homeland Security and Governmental Affairs,Michigan,Democratic Party,15,#0090A3,
Department of State Authorization Act of 2023,,S.2043,06/15/2023,"Menendez, Robert",Senate - Foreign Relations,New Jersey,Democratic Party,6,#00AEC5,
National Defense Authorization Act for Fiscal Year 2025,,S.4638,07/08/24,"Reed, Jack",Senate - Armed Services,Rhode Island,Democratic Party,4,#00AEC5,
Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025,,H.R.8070,04/18/2024,"Rogers, Mike D.",House - Armed Services,Alabama,Republican Party,2,#00CCE7,
Digital Consumer Protection Commission Act of 2023,,S.2597,07/27/2023,"Warren, Elizabeth",Senate - Judiciary,Massachusetts,Democratic Party,8,#00AEC5,
Health Equity and Accountability Act of 2024,,H.R.9161,07/25/2024,"Lee, Barbara",House - Energy and Commerce; Ways and Means; Agriculture; Oversight and Accountability; Education and the Workforce; Judiciary; Budget; Veterans' Affairs; Natural Resources; Armed Services; Homeland Security; Financial Services; Transportation and Infrastructure,California,Democratic Party,35,#007281,
Health Equity and Accountability Act of 2024,,S.4773,07/25/2024,"Hirono, Mazie K.",Senate - Finance,Hawaii,Democratic Party,5,#00AEC5,
AI JOBS Act of 2022,,H.R.6553,02/01/22,"Soto, Darren",House - Education and Labor,Florida,Democratic Party,16,#0090A3,
AI Training Act,,S.2551,07/29/2021,"Peters, Gary C.",Senate - Homeland Security and Governmental Affairs,Michigan,Democratic Party,15,#0090A3,
GOOD AI Act of 2021,,S.3035,10/21/2021,"Peters, Gary C.",Senate - Homeland Security and Governmental Affairs,Michigan,Democratic Party,15,#0090A3,
GOOD AI Act of 2022,,H.R.7296,03/30/2022,"Lawrence, Brenda L.",House - Oversight and Reform,Michigan,Democratic Party,15,#0090A3,
AI Scholarship-for-Service Act,,S.1257,04/20/2021,"Peters, Gary C.","Senate - Commerce, Science, and Transportation",Michigan,Democratic Party,15,#0090A3,
AI Training Act,,H.R.7683,05/06/22,"Maloney, Carolyn B.",House - Oversight and Reform,New York,Democratic Party,13,#0090A3,
Advancing American AI Act,,S.1353,04/22/2021,"Peters, Gary C.",Senate - Homeland Security and Governmental Affairs,Michigan,Democratic Party,15,#0090A3,
Fellowships and Traineeships for Early-Career AI Researchers Act,,H.R.3844,06/11/21,"Obernolte, Jay","House - Science, Space, and Technology",California,Republican Party,35,#007281,
AI for Agency Impact Act,,H.R.4468,07/16/2021,"Maloney, Carolyn B.",House - Oversight and Reform,New York,Democratic Party,13,#0090A3,
AI in Counterterrorism Oversight Enhancement Act,,H.R.4469,07/16/2021,"Maloney, Carolyn B.",House - Oversight and Reform; Homeland Security; Judiciary; Intelligence (Permanent Select),New York,Democratic Party,13,#0090A3,
Consumer Safety Technology Act,,H.R.3723,06/04/21,"McNerney, Jerry","House - Energy and Commerce | Senate - Commerce, Science, and Transportation",California,Democratic Party,35,#007281,
United States Innovation and Competition Act of 2021,,H.R.4521,07/19/2021,"Johnson, Eddie Bernice","House - Science, Space, and Technology; Agriculture; Energy and Commerce",Texas,Democratic Party,13,#0090A3,
Stopping Unlawful Negative Machine Impacts through National Evaluation Act,,S.5351,12/21/2022,"Portman, Rob","Senate - Commerce, Science, and Transportation",Ohio,Republican Party,6,#00AEC5,
Healthy Technology Act of 2021,,H.R.5467,09/30/2021,"Schweikert, David",House - Energy and Commerce,Arizona,Republican Party,7,#00AEC5,
AI for National Security Act,,H.R.7811,05/18/2022,"Obernolte, Jay",House - Armed Services,California,Republican Party,35,#007281,
Department of Defense Artificial Intelligence Metrics Act of 2021,,S.2904,09/30/2021,"Rounds, Mike",Senate - Armed Services,South Dakota,Republican Party,10,#0090A3,
AICT Act of 2021,,S.1705,05/19/2021,"Heinrich, Martin",Senate - Armed Services,New Mexico,Democratic Party,4,#00AEC5,
Democracy Technology Partnership Act,,H.R.3426,05/20/2021,"Moulton, Seth",House - Foreign Affairs,Massachusetts,Democratic Party,8,#00AEC5,
Democracy Technology Partnership Act,,S.604,03/04/21,"Warner, Mark R.",Senate - Foreign Relations,Virginia,Democratic Party,6,#00AEC5,
NRC Survey Act,,H.R.9351,11/22/2022,"Donalds, Byron",House - Energy and Commerce,Florida,Republican Party,16,#0090A3,
National Science Foundation for the Future Act,,H.R.2225,03/26/2021,"Johnson, Eddie Bernice","House - Science, Space, and Technology | Senate - Health, Education, Labor, and Pensions",Texas,Democratic Party,13,#0090A3,
Coast Guard Authorization Act of 2022,,S.4802,09/08/22,"Cantwell, Maria","Senate - Commerce, Science, and Transportation",Washington,Democratic Party,10,#0090A3,
Securing American Leadership in Science and Technology Act of 2021,,H.R.2153,03/23/2021,"Lucas, Frank D.","House - Science, Space, and Technology; Judiciary; Small Business",Oklahoma,Republican Party,5,#00AEC5,
James M. Inhofe National Defense Authorization Act for Fiscal Year 2023,,H.R.7776,05/16/2022,"DeFazio, Peter A.",House - Transportation and Infrastructure,Oregon,Democratic Party,2,#00CCE7,
CHIPS and Science Act,,H.R.4346,07/01/21,"Ryan, Tim",House - Appropriations | Senate - Appropriations,Ohio,Democratic Party,6,#00AEC5,
James M. Inhofe National Defense Authorization Act for Fiscal Year 2023,,S.4543,07/18/2022,"Reed, Jack",Senate - Armed Services,Rhode Island,Democratic Party,4,#00AEC5,
United States Innovation and Competition Act of 2021,,S.1260,04/20/2021,"Schumer, Charles E.","Senate - Commerce, Science, and Transportation",New York,Democratic Party,13,#0090A3,
National Defense Authorization Act for Fiscal Year 2022,,S.1605,05/13/2021,"Scott, Rick",Senate - Energy and Natural Resources,Florida,Republican Party,16,#0090A3,
National Defense Authorization Act for Fiscal Year 2022,,S.2792,09/22/2021,"Reed, Jack",Senate - Armed Services,Rhode Island,Democratic Party,4,#00AEC5,
National Defense Authorization Act for Fiscal Year 2022,,H.R.4350,07/02/21,"Smith, Adam",House - Armed Services,Washington,Democratic Party,10,#0090A3,
National Defense Authorization Act for Fiscal Year 2023,,H.R.7900,05/27/2022,"Smith, Adam",House - Armed Services,Washington,Democratic Party,10,#0090A3,
Health Equity and Accountability Act of 2022,,H.R.7585,04/26/2022,"Kelly, Robin L.",House - Energy and Commerce; Agriculture; Oversight and Reform; Ways and Means; Education and Labor; Judiciary; Budget; Veterans' Affairs; Natural Resources; Armed Services; Homeland Security; Financial Services; Transportation and Infrastructure,Illinois,Democratic Party,5,#00AEC5,
Health Equity and Accountability Act of 2022,,S.4486,06/23/2022,"Booker, Cory A.",Senate - Finance,New Jersey,Democratic Party,6,#00AEC5,
Inflation Reduction Act of 2022,,H.R.5376,09/27/2021,"Yarmuth, John A.",House - Budget,Kentucky,Democratic Party,2,#00CCE7,
AI JOBS Act of 2019,,H.R.827,01/28/2019,"Soto, Darren",House - Education and Labor,Florida,Democratic Party,16,#0090A3,
AI Scholarship-for-Service Act,,S.3901,06/04/20,"Peters, Gary C.","Senate - Health, Education, Labor, and Pensions",Michigan,Democratic Party,15,#0090A3,
AI–IA,,S.1558,05/21/2019,"Heinrich, Martin","Senate - Commerce, Science, and Transportation",New Mexico,Democratic Party,4,#00AEC5,
National AI Research Resource Task Force Act of 2020,,H.R.7096,06/04/20,"Eshoo, Anna G.","House - Science, Space, and Technology",California,Democratic Party,35,#007281,
AI Careers Act of 2020,,H.R.7339,06/25/2020,"Cohen, Steve","House - Science, Space, and Technology",Tennessee,Democratic Party,3,#00AEC5,
National AI Research Resource Task Force Act of 2020,,S.3890,06/04/20,"Portman, Rob","Senate - Commerce, Science, and Transportation",Ohio,Republican Party,6,#00AEC5,
Consumer Safety Technology Act,,H.R.8128,08/28/2020,"McNerney, Jerry","House - Energy and Commerce | Senate - Commerce, Science, and Transportation",California,Democratic Party,35,#007281,
AI in Government Act of 2020,,H.R.2575,05/08/19,"McNerney, Jerry",House - Oversight and Reform,California,Democratic Party,35,#007281,
AI in Government Act of 2019,,S.1363,05/08/19,"Schatz, Brian",Senate - Homeland Security and Governmental Affairs,Hawaii,Democratic Party,5,#00AEC5,
Future DATA Act,,H.R.2432,05/01/19,"Dunn, Neal P.",House - Armed Services,Florida,Republican Party,16,#0090A3,
ADAPT Act,,H.R.8183,09/08/20,"Brown, Anthony G.",House - Armed Services,Maryland,Democratic Party,1,#00CCE7,
Artificial Intelligence Standards and National Security Act,,S.4082,06/25/2020,"Bennet, Michael F.",Senate - Armed Services,Colorado,Democratic Party,4,#00AEC5,
Advancing Innovation to Assist Law Enforcement Act,,H.R.2613,05/09/19,"Gonzalez, Anthony","House - Financial Services | Senate - Banking, Housing, and Urban Affairs",Ohio,Republican Party,6,#00AEC5,
Intelligence Authorization Act for Fiscal Year 2021,,H.R.7856,07/30/2020,"Schiff, Adam B.",House - Intelligence (Permanent Select),California,Democratic Party,35,#007281,
Securing American Leadership in Science and Technology Act of 2020,,H.R.5685,01/28/2020,"Lucas, Frank D.","House - Science, Space, and Technology; Judiciary; Small Business; Natural Resources; Foreign Affairs",Oklahoma,Republican Party,5,#00AEC5,
"William M. (Mac) Thornberry National 
 Defense Authorization Act for Fiscal Year 2021",,H.R.6395,03/26/2020,"Smith, Adam",House - Armed Services,Washington,Democratic Party,10,#0090A3,
COUNTER Act of 2019,,H.R.2514,05/03/19,"Cleaver, Emanuel","House - Financial Services; Ways and Means | Senate - Banking, Housing, and Urban Affairs",Missouri,Democratic Party,2,#00CCE7,
"National Defense Authorization Act 
 for Fiscal Year 2020",,S.1790,06/11/19,"Inhofe, James M.",Senate - Armed Services,Oklahoma,Republican Party,5,#00AEC5,
National Defense Authorization Act for Fiscal Year 2021,,S.4049,06/23/2020,"Inhofe, James M.",Senate - Armed Services,Oklahoma,Republican Party,5,#00AEC5,
Corporate Transparency Act of 2019,,H.R.2513,05/03/19,"Maloney, Carolyn B.","House - Financial Services | Senate - Banking, Housing, and Urban Affairs",New York,Democratic Party,13,#0090A3,
National Defense Authorization Act for Fiscal Year 2020,,H.R.2500,05/02/19,"Smith, Adam",House - Armed Services,Washington,Democratic Party,10,#0090A3,
"Consolidated Appropriations Act, 2021",,H.R.133,01/03/19,"Cuellar, Henry",House - Foreign Affairs | Senate - Foreign Relations,Texas,Democratic Party,13,#0090A3,
Jobs and Justice Act of 2020,,H.R.8352,09/23/2020,"Bass, Karen","House - Judiciary; Agriculture; Armed Services; Budget; Education and Labor; Energy and Commerce; Financial Services; Foreign Affairs; Homeland Security; House Administration; Natural Resources; Oversight and Reform; Rules; Science, Space, and Technology; Small Business; Transportation and Infrastructure; Veterans' Affairs; Ways and Means",California,Democratic Party,35,#007281,
AI JOBS Act of 2018,,H.R.4829,01/18/2018,"Soto, Darren",House - Education and the Workforce,Florida,Democratic Party,16,#0090A3,
AI in Government Act of 2018,,S.3502,09/26/2018,"Schatz, Brian",Senate - Homeland Security and Governmental Affairs,Hawaii,Democratic Party,5,#00AEC5,
National Defense Authorization Act for Fiscal Year 2017,,S.2943,05/18/2016,"McCain, John",Senate - Armed Services,Arizona,Republican Party,7,#00AEC5,
National Defense Authorization Act for Fiscal Year 2017,,H.R.4909,04/12/16,"Thornberry, Mac",House - Armed Services,Texas,Republican Party,13,#0090A3,
"Consolidated Appropriations Act, 2001",,H.R.4577,06/01/00,"Porter, John Edward",House - Appropriations,Illinois,Republican Party,5,#00AEC5,
